LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.21M
Steps = 0, loss = 4.810659885406494
Steps = 100, loss = 2.155250072479248
Steps = 200, loss = 0.10301484167575836
Steps = 300, loss = 0.02556188777089119
Steps = 400, loss = 0.01377158984541893
Steps = 500, loss = 0.00916161946952343
Steps = 600, loss = 0.00683233980089426
Steps = 700, loss = 0.004958423785865307
Steps = 800, loss = 0.003925234079360962
Steps = 900, loss = 0.00319495121948421
Steps = 1000, loss = 0.002635625656694174
Steps = 1100, loss = 0.0022385604679584503
Steps = 1200, loss = 0.0019053348805755377
Steps = 1300, loss = 0.0016894296277314425
Steps = 1400, loss = 0.0014431814197450876
Steps = 1500, loss = 0.0013140642549842596
Steps = 1600, loss = 0.0011620180448517203
Steps = 1700, loss = 0.0010441456688567996
Steps = 1800, loss = 0.0009442295413464308
Steps = 1900, loss = 0.0008383755339309573
Steps = 2000, loss = 0.0007663395954295993
Steps = 2100, loss = 0.0007174093625508249
Steps = 2200, loss = 0.0006289300508797169
Steps = 2300, loss = 0.0005825897096656263
Steps = 2400, loss = 0.0005403555114753544
Steps = 2500, loss = 0.0004953625029884279
Steps = 2600, loss = 0.0004575257480610162
Steps = 2700, loss = 0.00044076720951125026
Steps = 2800, loss = 0.0004045588430017233
Steps = 2900, loss = 0.00036890950286760926
Steps = 3000, loss = 0.0003464326437097043
Steps = 3100, loss = 0.0003267767315264791
Steps = 3200, loss = 0.00030342102400027215
Steps = 3300, loss = 0.0002852329344023019
Steps = 3400, loss = 0.0002668233937583864
Steps = 3500, loss = 0.0002470557810738683
Steps = 3600, loss = 0.00023940124083310366
Steps = 3700, loss = 0.00021827372256666422
Steps = 3800, loss = 0.00020071971812285483
Steps = 3900, loss = 0.00019722168508451432
Steps = 4000, loss = 0.0001814433780964464
Steps = 4100, loss = 0.00017215860134456307
Steps = 4200, loss = 0.00016297957336064428
Steps = 4300, loss = 0.00015176186570897698
Steps = 4400, loss = 0.00014499899407383054
Steps = 4500, loss = 0.0001300545409321785
Steps = 4600, loss = 0.00012977590085938573
Steps = 4700, loss = 0.00012011416401946917
Steps = 4800, loss = 0.00011558689584489912
Steps = 4900, loss = 0.00010919042688328773
Steps = 5000, loss = 0.00010200723772868514
Steps = 5100, loss = 9.46361615206115e-05
Steps = 5200, loss = 9.306813444709405e-05
Steps = 5300, loss = 8.812306623440236e-05
Steps = 5400, loss = 8.279501344077289e-05
Steps = 5500, loss = 7.840630860300735e-05
Steps = 5600, loss = 7.519518112530932e-05
Steps = 5700, loss = 6.874072278151289e-05
Steps = 5800, loss = 6.657762423856184e-05
Steps = 5900, loss = 6.358826067298651e-05
Steps = 6000, loss = 5.89203555136919e-05
Steps = 6100, loss = 5.6662727729417384e-05
Steps = 6200, loss = 5.3041741921333596e-05
Steps = 6300, loss = 5.1190359954489395e-05
Steps = 6400, loss = 4.8638445150572807e-05
Steps = 6500, loss = 4.461533171706833e-05
Steps = 6600, loss = 4.374250056571327e-05
Steps = 6700, loss = 4.167551378486678e-05
Steps = 6800, loss = 3.912706233677454e-05
Steps = 6900, loss = 3.713644400704652e-05
Steps = 7000, loss = 3.5712273529497907e-05
Steps = 7100, loss = 3.413327794987708e-05
Steps = 7200, loss = 3.1018345907796174e-05
Steps = 7300, loss = 3.032033782801591e-05
Steps = 7400, loss = 2.8597683922271244e-05
Steps = 7500, loss = 2.700330333027523e-05
Steps = 7600, loss = 2.6116002118214965e-05
Steps = 7700, loss = 2.445807149342727e-05
Steps = 7800, loss = 2.2867179723107256e-05
Steps = 7900, loss = 2.185392804676667e-05
Steps = 8000, loss = 2.0755682271555997e-05
Steps = 8100, loss = 1.988724761758931e-05
Steps = 8200, loss = 1.8349430320085958e-05
Steps = 8300, loss = 1.8088900105794892e-05
Steps = 8400, loss = 1.6810685337986797e-05
Steps = 8500, loss = 1.5960638847900555e-05
Steps = 8600, loss = 1.5468440324184485e-05
Steps = 8700, loss = 1.4150642527965829e-05
Steps = 8800, loss = 1.4040049791219644e-05
Steps = 8900, loss = 1.3266127098177094e-05
Steps = 9000, loss = 1.2113632692489773e-05
Steps = 9100, loss = 1.1819572137028445e-05
Steps = 9200, loss = 1.1546930181793869e-05
Steps = 9300, loss = 1.0780462616821751e-05
Steps = 9400, loss = 1.0091523108712863e-05
Steps = 9500, loss = 9.673132808529772e-06
Steps = 9600, loss = 9.195367965730838e-06
Steps = 9700, loss = 8.519466973666567e-06
Steps = 9800, loss = 8.275928848888725e-06
Steps = 9900, loss = 7.713882041571196e-06
Steps = 10000, loss = 7.377907422778662e-06
Steps = 10100, loss = 7.105730674084043e-06
Steps = 10200, loss = 6.734600901836529e-06
Steps = 10300, loss = 6.241703431442147e-06
Steps = 10400, loss = 6.075695637264289e-06
Steps = 10500, loss = 5.695486379408976e-06
Steps = 10600, loss = 5.380701168178348e-06
Steps = 10700, loss = 5.158348358236253e-06
Steps = 10800, loss = 4.853107839153381e-06
Steps = 10900, loss = 4.643794909497956e-06
Steps = 11000, loss = 4.451478616829263e-06
Steps = 11100, loss = 4.222373718221206e-06
Steps = 11200, loss = 4.052408712595934e-06
Steps = 11300, loss = 3.87638965548831e-06
Steps = 11400, loss = 3.634479298852966e-06
Steps = 11500, loss = 3.400717787371832e-06
Steps = 11600, loss = 3.3376206829416333e-06
Steps = 11700, loss = 2.993498128489591e-06
Steps = 11800, loss = 3.0144528864184394e-06
Steps = 11900, loss = 2.818410393956583e-06
Steps = 12000, loss = 2.6300519948563306e-06
Steps = 12100, loss = 2.460085852362681e-06
Steps = 12200, loss = 2.3413422240992077e-06
Steps = 12300, loss = 2.2822030132374493e-06
Steps = 12400, loss = 2.1741700493294047e-06
Steps = 12500, loss = 2.08243477572978e-06
Steps = 12600, loss = 1.907579417093075e-06
Steps = 12700, loss = 1.8458795238984749e-06
Steps = 12800, loss = 1.7546102526466711e-06
Steps = 12900, loss = 1.6977998029688024e-06
Steps = 13000, loss = 1.5667163779653492e-06
Steps = 13100, loss = 1.4831302905804478e-06
Steps = 13200, loss = 1.4111857353782398e-06
Steps = 13300, loss = 1.3250385109131457e-06
Steps = 13400, loss = 1.270323423341324e-06
Steps = 13500, loss = 1.1965162229898851e-06
Steps = 13600, loss = 1.1632214409473818e-06
Steps = 13700, loss = 1.0807995067807497e-06
Steps = 13800, loss = 1.0121145805896958e-06
Steps = 13900, loss = 9.85571773526317e-07
Steps = 14000, loss = 9.040812187777192e-07
Steps = 14100, loss = 8.526257033736329e-07
Steps = 14200, loss = 8.121131713778595e-07
Steps = 14300, loss = 7.874331231505494e-07
Steps = 14400, loss = 7.459892685801606e-07
Steps = 14500, loss = 7.005873499110749e-07
Steps = 14600, loss = 6.50295930881839e-07
Steps = 14700, loss = 6.209592697814514e-07
Steps = 14800, loss = 6.081535843804886e-07
Steps = 14900, loss = 5.739274797633698e-07
Steps = 15000, loss = 5.192122785047104e-07
Steps = 15100, loss = 4.947650609210541e-07
Steps = 15200, loss = 4.7148202497737657e-07
Steps = 15300, loss = 4.4563782353179704e-07
Steps = 15400, loss = 4.307366623379494e-07
Steps = 15500, loss = 4.123430414892937e-07
Steps = 15600, loss = 3.7602146107929e-07
Steps = 15700, loss = 3.6507842082755815e-07
Steps = 15800, loss = 3.345776065089012e-07
Steps = 15900, loss = 3.317836387850548e-07
Steps = 16000, loss = 3.0896623570697557e-07
Steps = 16100, loss = 2.95694889018705e-07
Steps = 16200, loss = 2.8288920361774217e-07
Steps = 16300, loss = 2.6007180053966295e-07
Steps = 16400, loss = 2.488959296442772e-07
Steps = 16500, loss = 2.3329629073032265e-07
Steps = 16600, loss = 2.221204198349369e-07
Steps = 16700, loss = 2.1024605700858956e-07
Steps = 16800, loss = 2.0558944413551217e-07
Steps = 16900, loss = 1.8975696036704903e-07
Steps = 17000, loss = 1.8347053298839455e-07
Steps = 17100, loss = 1.739244765985859e-07
Steps = 17200, loss = 1.669395572889698e-07
Steps = 17300, loss = 1.539010412443531e-07
Steps = 17400, loss = 1.4877876708396798e-07
Steps = 17500, loss = 1.3923271069415932e-07
Steps = 17600, loss = 1.331791139591587e-07
Steps = 17700, loss = 1.2503004143127328e-07
Steps = 17800, loss = 1.2200324306377297e-07
Steps = 17900, loss = 1.1874362115804615e-07
Steps = 18000, loss = 1.1362134699766102e-07
Steps = 18100, loss = 1.0989605669919911e-07
Steps = 18200, loss = 1.0500661318246785e-07
Steps = 18300, loss = 1.015141535276598e-07
Steps = 18400, loss = 9.755603258554402e-08
