LR = 0.01, batch_size = 32, block_size = 256


number of parameters: 0.40M
Steps = 0, loss = 2.753868579864502
Steps = 100, loss = 1.5427336692810059
Steps = 200, loss = 1.3299883604049683
Steps = 300, loss = 1.3033546209335327
Steps = 400, loss = 1.3084867000579834
Steps = 500, loss = 1.2522963285446167
Steps = 600, loss = 1.2890393733978271
Steps = 700, loss = 1.268761396408081
Steps = 800, loss = 1.2490407228469849
Steps = 900, loss = 1.3243640661239624
Validation accuracy: 0.328125 (got 105 right out of 320)
