LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.617220878601074
Steps = 100, loss = 0.8592809438705444
Steps = 200, loss = 0.4220365285873413
Steps = 300, loss = 0.36552804708480835
Steps = 400, loss = 0.3349788188934326
Steps = 500, loss = 0.24578328430652618
Steps = 600, loss = 0.26624929904937744
Steps = 700, loss = 0.2449411004781723
Steps = 800, loss = 0.21239182353019714
Steps = 900, loss = 0.1576244980096817
Steps = 1000, loss = 0.28898975253105164
Steps = 1100, loss = 0.20247377455234528
Steps = 1200, loss = 0.19756528735160828
Steps = 1300, loss = 0.17986279726028442
Steps = 1400, loss = 0.12634189426898956
Steps = 1500, loss = 0.14065849781036377
Steps = 1600, loss = 0.1322193741798401
Steps = 1700, loss = 0.10560087114572525
Steps = 1800, loss = 0.23478928208351135
Steps = 1900, loss = 0.12104660272598267
Steps = 2000, loss = 0.1415184885263443
Steps = 2100, loss = 0.11365346610546112
Steps = 2200, loss = 0.09225381165742874
Steps = 2300, loss = 0.07524938881397247
Steps = 2400, loss = 0.09222502261400223
Steps = 2500, loss = 0.08124441653490067
Steps = 2600, loss = 0.07996904104948044
Steps = 2700, loss = 0.05211293697357178
Steps = 2800, loss = 0.057850927114486694
Steps = 2900, loss = 0.07160879671573639
Steps = 3000, loss = 0.04304959625005722
Steps = 3100, loss = 0.06584784388542175
Steps = 3200, loss = 0.09000779688358307
Steps = 3300, loss = 0.05808662995696068
Steps = 3400, loss = 0.03461596369743347
Steps = 3500, loss = 0.08377137780189514
Steps = 3600, loss = 0.05377385765314102
Steps = 3700, loss = 0.021447770297527313
Steps = 3800, loss = 0.0052301594987511635
Steps = 3900, loss = 0.02539350837469101
Steps = 4000, loss = 0.030593452975153923
Steps = 4100, loss = 0.00887263473123312
Steps = 4200, loss = 0.021976109594106674
Steps = 4300, loss = 0.015486204996705055
Steps = 4400, loss = 0.012950065545737743
Steps = 4500, loss = 0.022876178845763206
Steps = 4600, loss = 0.03314751759171486
Steps = 4700, loss = 0.01021622959524393
Steps = 4800, loss = 0.0147814666852355
Steps = 4900, loss = 0.01623149961233139
Steps = 5000, loss = 0.005710181780159473
Steps = 5100, loss = 0.027984490618109703
Steps = 5200, loss = 0.018153781071305275
Steps = 5300, loss = 0.017147962003946304
Steps = 5400, loss = 0.019685305655002594
Steps = 5500, loss = 0.010322777554392815
Steps = 5600, loss = 0.010669411160051823
Steps = 5700, loss = 0.02681807614862919
Steps = 5800, loss = 0.011360209435224533
Steps = 5900, loss = 0.012954805046319962
Steps = 6000, loss = 0.028118720278143883
Steps = 6100, loss = 0.006312797777354717
Steps = 6200, loss = 0.01570567488670349
Steps = 6300, loss = 0.0482478141784668
Steps = 6400, loss = 0.010189630091190338
Steps = 6500, loss = 0.0030537492129951715
Steps = 6600, loss = 0.023400600999593735
Steps = 6700, loss = 0.0016869240207597613
Steps = 6800, loss = 0.0014487814623862505
Steps = 6900, loss = 0.019945766776800156
Steps = 7000, loss = 0.011307348497211933
Steps = 7100, loss = 0.01808556355535984
Steps = 7200, loss = 0.021635744720697403
Steps = 7300, loss = 0.017809154465794563
Steps = 7400, loss = 0.0035135801881551743
Steps = 7500, loss = 0.010150838643312454
Steps = 7600, loss = 0.013564437627792358
Steps = 7700, loss = 0.015099335461854935
Steps = 7800, loss = 0.002113006077706814
Steps = 7900, loss = 0.00033248626277782023
Steps = 8000, loss = 0.0002574638929218054
Steps = 8100, loss = 0.00021700038632843643
Steps = 8200, loss = 0.00019237116794101894
Steps = 8300, loss = 0.00012979521125089377
Steps = 8400, loss = 0.00018563540652394295
Steps = 8500, loss = 0.00011668639490380883
Steps = 8600, loss = 0.0001471287541789934
Steps = 8700, loss = 0.00010354266123613343
Steps = 8800, loss = 9.975914872484282e-05
Steps = 8900, loss = 8.937237726058811e-05
Steps = 9000, loss = 7.555242336820811e-05
Steps = 9100, loss = 8.933406206779182e-05
Steps = 9200, loss = 8.167790656443685e-05
Steps = 9300, loss = 7.251861097756773e-05
Steps = 9400, loss = 9.121367475017905e-05
Steps = 9500, loss = 6.81216552038677e-05
Steps = 9600, loss = 6.465759361162782e-05
Steps = 9700, loss = 7.104863470885903e-05
Steps = 9800, loss = 6.533873965963721e-05
Steps = 9900, loss = 6.080614184611477e-05
Steps = 10000, loss = 4.9786613089963794e-05
Steps = 10100, loss = 3.9186714275274426e-05
Steps = 10200, loss = 4.633607022697106e-05
Steps = 10300, loss = 4.246549360686913e-05
Steps = 10400, loss = 5.7224056945415214e-05
Steps = 10500, loss = 4.889209958491847e-05
Steps = 10600, loss = 3.231239679735154e-05
Steps = 10700, loss = 3.7442972825374454e-05
Steps = 10800, loss = 3.149696203763597e-05
Steps = 10900, loss = 4.026363603770733e-05
Steps = 11000, loss = 3.605287929531187e-05
Steps = 11100, loss = 3.869562715408392e-05
Steps = 11200, loss = 3.695107807288878e-05
Steps = 11300, loss = 3.413699960219674e-05
Steps = 11400, loss = 2.011821561609395e-05
Steps = 11500, loss = 1.852842979133129e-05
Steps = 11600, loss = 3.0275063181761652e-05
Steps = 11700, loss = 2.498466710676439e-05
Steps = 11800, loss = 1.7164958990179002e-05
Steps = 11900, loss = 2.3794968001311645e-05
Steps = 12000, loss = 2.4504868633812293e-05
Steps = 12100, loss = 1.9699371478054672e-05
Steps = 12200, loss = 1.947192140505649e-05
Steps = 12300, loss = 2.2088279365561903e-05
Steps = 12400, loss = 2.081886850646697e-05
Steps = 12500, loss = 1.871394670160953e-05
Steps = 12600, loss = 1.6858444723766297e-05
Steps = 12700, loss = 1.5229052223730832e-05
Steps = 12800, loss = 1.3003353160456754e-05
Steps = 12900, loss = 1.1698370144586079e-05
Steps = 13000, loss = 1.3139735528966412e-05
Steps = 13100, loss = 1.2603109098563436e-05
Steps = 13200, loss = 1.2878859706688672e-05
Steps = 13300, loss = 8.278019777208101e-06
Steps = 13400, loss = 1.263978447241243e-05
Steps = 13500, loss = 1.3659790056408383e-05
Steps = 13600, loss = 1.3301129911269527e-05
Steps = 13700, loss = 9.110779501497746e-06
Steps = 13800, loss = 8.950670235208236e-06
Steps = 13900, loss = 9.540242899674922e-06
Steps = 14000, loss = 1.0537209163885564e-05
Steps = 14100, loss = 5.928032805968542e-06
Steps = 14200, loss = 7.558111065009143e-06
Steps = 14300, loss = 5.959057943982771e-06
Steps = 14400, loss = 6.58037606626749e-06
Steps = 14500, loss = 5.54058578927652e-06
Steps = 14600, loss = 6.187835424498189e-06
Steps = 14700, loss = 6.970001777517609e-06
Steps = 14800, loss = 4.745119895233074e-06
Steps = 14900, loss = 6.111108177719871e-06
Steps = 15000, loss = 3.691617166623473e-06
Steps = 15100, loss = 3.5174971344531514e-06
Steps = 15200, loss = 2.466330897732405e-06
Steps = 15300, loss = 4.54905784863513e-06
Steps = 15400, loss = 4.751903361466248e-06
Steps = 15500, loss = 3.42600719704933e-06
Steps = 15600, loss = 3.6592846299754456e-06
Steps = 15700, loss = 3.4192412385891657e-06
Steps = 15800, loss = 4.624791472451761e-06
Steps = 15900, loss = 2.5615390768507496e-06
Steps = 16000, loss = 2.91961418952269e-06
Steps = 16100, loss = 3.827831278613303e-06
Steps = 16200, loss = 3.2881880542845465e-06
Steps = 16300, loss = 2.4963537725852802e-06
Steps = 16400, loss = 2.305212547071278e-06
Steps = 16500, loss = 3.2486011605215026e-06
Steps = 16600, loss = 2.277035946463002e-06
Steps = 16700, loss = 1.8430548607284436e-06
Steps = 16800, loss = 1.6537737792532425e-06
Steps = 16900, loss = 2.2640042516286485e-06
Steps = 17000, loss = 1.8062758044834482e-06
Steps = 17100, loss = 1.697311518000788e-06
Steps = 17200, loss = 1.3038400084042223e-06
Steps = 17300, loss = 1.1999989055766491e-06
Steps = 17400, loss = 1.5652994989068247e-06
Steps = 17500, loss = 1.3618086995847989e-06
Steps = 17600, loss = 7.776488928357139e-07
Steps = 17700, loss = 1.1806680504378164e-06
Steps = 17800, loss = 1.382296318297449e-06
Steps = 17900, loss = 1.087534769794729e-06
Steps = 18000, loss = 1.245632688551268e-06
Steps = 18100, loss = 9.168808787762828e-07
Steps = 18200, loss = 9.024428209158941e-07
Steps = 18300, loss = 8.535516826668754e-07
Steps = 18400, loss = 6.717120868415805e-07
Steps = 18500, loss = 1.0155990821658634e-06
Steps = 18600, loss = 6.414450126612792e-07
