LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.656124114990234
Steps = 100, loss = 4.500071048736572
Steps = 200, loss = 4.315439224243164
Steps = 300, loss = 3.4972426891326904
Steps = 400, loss = 2.0182418823242188
Steps = 500, loss = 1.332124948501587
Steps = 600, loss = 1.1045536994934082
Steps = 700, loss = 0.7597975134849548
Steps = 800, loss = 0.11402522772550583
Steps = 900, loss = 0.5312865972518921
Steps = 1000, loss = 0.03874313831329346
Steps = 1100, loss = 0.054287638515233994
Steps = 1200, loss = 0.03431311249732971
Steps = 1300, loss = 0.41178950667381287
Steps = 1400, loss = 0.03000621497631073
Steps = 1500, loss = 0.02109905146062374
Steps = 1600, loss = 0.11545207351446152
Steps = 1700, loss = 0.042427368462085724
Steps = 1800, loss = 0.02604515478014946
Steps = 1900, loss = 0.20479898154735565
Steps = 2000, loss = 0.029845064505934715
Steps = 2100, loss = 0.21742020547389984
Steps = 2200, loss = 0.07043521851301193
Steps = 2300, loss = 0.03039982169866562
Steps = 2400, loss = 0.04062698781490326
Steps = 2500, loss = 1.8247042894363403
Steps = 2600, loss = 0.14572007954120636
Steps = 2700, loss = 0.05117917060852051
Steps = 2800, loss = 0.4125802218914032
Steps = 2900, loss = 0.0400090366601944
Steps = 3000, loss = 0.29157754778862
Steps = 3100, loss = 0.04111925885081291
Steps = 3200, loss = 0.22520020604133606
Steps = 3300, loss = 0.057117607444524765
Steps = 3400, loss = 0.7659563422203064
Steps = 3500, loss = 0.04630626365542412
Steps = 3600, loss = 0.05605480819940567
Steps = 3700, loss = 0.24118489027023315
Steps = 3800, loss = 0.046013377606868744
Steps = 3900, loss = 0.053139448165893555
Steps = 4000, loss = 0.20028354227542877
Steps = 4100, loss = 0.051612406969070435
Steps = 4200, loss = 0.186618372797966
Steps = 4300, loss = 0.055767398327589035
Steps = 4400, loss = 0.05997942388057709
Steps = 4500, loss = 1.5594439506530762
Steps = 4600, loss = 0.21689912676811218
Steps = 4700, loss = 1.6896079778671265
Steps = 4800, loss = 0.055606335401535034
Steps = 4900, loss = 0.6820087432861328
Steps = 5000, loss = 0.07090379297733307
Steps = 5100, loss = 0.3804619014263153
Steps = 5200, loss = 0.05780930072069168
Steps = 5300, loss = 0.15229468047618866
Steps = 5400, loss = 0.060785673558712006
Steps = 5500, loss = 0.06484127044677734
Steps = 5600, loss = 1.3406131267547607
Steps = 5700, loss = 0.06539806723594666
Steps = 5800, loss = 0.102748341858387
Steps = 5900, loss = 0.06283033639192581
Steps = 6000, loss = 0.1706707626581192
