LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.21M
Steps = 0, loss = 4.6498212814331055
Steps = 100, loss = 4.581063270568848
Steps = 200, loss = 4.381957530975342
Steps = 300, loss = 2.489122152328491
Steps = 400, loss = 1.147382140159607
Steps = 500, loss = 0.7039346694946289
Steps = 600, loss = 0.4975404441356659
Steps = 700, loss = 0.31078439950942993
Steps = 800, loss = 0.1702701598405838
Steps = 900, loss = 0.08487708121538162
Steps = 1000, loss = 0.047903500497341156
Steps = 1100, loss = 0.029622428119182587
Steps = 1200, loss = 0.021286288276314735
Steps = 1300, loss = 0.015207107178866863
Steps = 1400, loss = 0.01151922158896923
Steps = 1500, loss = 0.009306365624070168
Steps = 1600, loss = 0.007577359676361084
Steps = 1700, loss = 0.006217500660568476
Steps = 1800, loss = 0.005028099287301302
Steps = 1900, loss = 0.004356872756034136
Steps = 2000, loss = 0.003699887776747346
Steps = 2100, loss = 0.0032747099176049232
Steps = 2200, loss = 0.0028646003920584917
Steps = 2300, loss = 0.002525556134060025
Steps = 2400, loss = 0.0022660421673208475
Steps = 2500, loss = 0.0019474688451737165
Steps = 2600, loss = 0.001721735461615026
Steps = 2700, loss = 0.0015615693992003798
Steps = 2800, loss = 0.0013356234412640333
Steps = 2900, loss = 0.0013002528576180339
Steps = 3000, loss = 0.0011375987669453025
Steps = 3100, loss = 0.001048088539391756
Steps = 3200, loss = 0.0009202970541082323
Steps = 3300, loss = 0.0008684605127200484
Steps = 3400, loss = 0.000784140604082495
Steps = 3500, loss = 0.0007320368313230574
Steps = 3600, loss = 0.0006660012877546251
Steps = 3700, loss = 0.0006023638416081667
Steps = 3800, loss = 0.0005510405171662569
Steps = 3900, loss = 0.0005229904782027006
Steps = 4000, loss = 0.0004965137341059744
Steps = 4100, loss = 0.0004299573483876884
Steps = 4200, loss = 0.00041195028461515903
Steps = 4300, loss = 0.000380213517928496
Steps = 4400, loss = 0.00036421476397663355
Steps = 4500, loss = 0.0003411220386624336
Steps = 4600, loss = 0.0002983552112709731
Steps = 4700, loss = 0.000295757781714201
Steps = 4800, loss = 0.0002778674243018031
Steps = 4900, loss = 0.00024851158377714455
Steps = 5000, loss = 0.00024106020282488316
Steps = 5100, loss = 0.00021826010197401047
Steps = 5200, loss = 0.0002054582437267527
Steps = 5300, loss = 0.0001921056245919317
Steps = 5400, loss = 0.0001791887916624546
Steps = 5500, loss = 0.00017446570564061403
Steps = 5600, loss = 0.00016271343338303268
Steps = 5700, loss = 0.0001491424918640405
Steps = 5800, loss = 0.00013727993064094335
Steps = 5900, loss = 0.48705723881721497
Steps = 6000, loss = 0.026087520644068718
Steps = 6100, loss = 0.008737432770431042
Steps = 6200, loss = 0.0046933479607105255
Steps = 6300, loss = 0.0028962416108697653
