LR = 0.01, batch_size = 32, block_size = 256


number of parameters: 0.40M
Steps = 0, loss = 2.7319674491882324
Steps = 100, loss = 1.6142734289169312
Steps = 200, loss = 1.3942304849624634
Steps = 300, loss = 1.3538415431976318
Steps = 400, loss = 1.3973867893218994
Steps = 500, loss = 1.3100361824035645
Steps = 600, loss = 1.2956478595733643
Steps = 700, loss = 1.3021435737609863
Steps = 800, loss = 1.2683618068695068
Steps = 900, loss = 1.2673500776290894
Validation accuracy: 0.29375 (got 94 right out of 320)
