number of parameters: 7.10M
Steps = 0, loss = 2.4120469093322754
Steps = 10, loss = 0.007784104440361261
Steps = 20, loss = 0.0020324992947280407
Steps = 30, loss = 0.0010850903345271945
Steps = 40, loss = 0.0006913515389896929
Steps = 50, loss = 0.0004984738188795745
Steps = 60, loss = 0.00039259952609427273
Steps = 70, loss = 0.0003262587124481797
Steps = 80, loss = 0.0002816900669131428
Steps = 90, loss = 0.00024981395108625293
Steps = 100, loss = 0.0002253207057947293
Steps = 110, loss = 0.0002055007207673043
Steps = 120, loss = 0.00018895008543040603
Steps = 130, loss = 0.0001749175862642005
Steps = 140, loss = 0.00016274518566206098
Steps = 150, loss = 0.00015213761071208864
Steps = 160, loss = 0.00014282544725574553
Steps = 170, loss = 0.00013448740355670452
Steps = 180, loss = 0.00012708210851997137
Steps = 190, loss = 0.00012040224100928754
Steps = 200, loss = 0.00011434935731813312
Steps = 210, loss = 0.0001088457865989767
Steps = 220, loss = 0.00010380342428106815
Steps = 230, loss = 9.921703167492524e-05
Steps = 240, loss = 9.499857696937397e-05
Steps = 250, loss = 9.105996286962181e-05
Steps = 260, loss = 8.744266961002722e-05
Steps = 270, loss = 8.409479778492823e-05
Steps = 280, loss = 8.095422526821494e-05
Steps = 290, loss = 7.804685446899384e-05
Steps = 300, loss = 7.532087329309434e-05
Steps = 310, loss = 7.272961374837905e-05
Steps = 320, loss = 7.033011206658557e-05
Steps = 330, loss = 6.811198545619845e-05
Steps = 340, loss = 6.593012949451804e-05
Steps = 350, loss = 6.39451973256655e-05
Steps = 360, loss = 6.203282828209922e-05
Steps = 370, loss = 6.02293002884835e-05
Steps = 380, loss = 5.8529396483208984e-05
Steps = 390, loss = 5.689687532139942e-05
Steps = 400, loss = 5.5373184295604005e-05
Steps = 410, loss = 5.38961285201367e-05
Steps = 420, loss = 5.250200047157705e-05
Steps = 430, loss = 5.118042099638842e-05
Steps = 440, loss = 4.992622780264355e-05
Steps = 450, loss = 4.87445795442909e-05
Steps = 460, loss = 4.756810449180193e-05
Steps = 470, loss = 4.6459015720756724e-05
Steps = 480, loss = 4.541211455943994e-05
Steps = 490, loss = 4.438593896338716e-05
Steps = 500, loss = 4.3385676690377295e-05
Steps = 510, loss = 4.246833850629628e-05
Steps = 520, loss = 4.158209412707947e-05
Steps = 530, loss = 4.0695853385841474e-05
Steps = 540, loss = 3.9851067413110286e-05
Steps = 550, loss = 3.9078837289707735e-05
Steps = 560, loss = 3.8301426684483886e-05
Steps = 570, loss = 3.756029764190316e-05
Steps = 580, loss = 3.686581112560816e-05
Steps = 590, loss = 3.614540401031263e-05
Steps = 600, loss = 3.548201493686065e-05
Steps = 610, loss = 3.482380270725116e-05
Steps = 620, loss = 3.4227781725348905e-05
Steps = 630, loss = 3.362139250384644e-05
Steps = 640, loss = 3.300983371445909e-05
Steps = 650, loss = 3.246564665460028e-05
Steps = 660, loss = 3.192145231878385e-05
Steps = 670, loss = 3.138243846478872e-05
Steps = 680, loss = 3.0884897569194436e-05
Steps = 690, loss = 3.0376979339052923e-05
Steps = 700, loss = 2.989498170791194e-05
Steps = 710, loss = 2.9433707823045552e-05
Steps = 720, loss = 2.8951710191904567e-05
Steps = 730, loss = 2.852671968867071e-05
Steps = 740, loss = 2.808099816320464e-05
Steps = 750, loss = 2.7645644877338782e-05
Steps = 760, loss = 2.7241383577347733e-05
Steps = 770, loss = 2.6852672817767598e-05
Steps = 780, loss = 2.6469144358998165e-05
Steps = 790, loss = 2.609079638205003e-05
Steps = 800, loss = 2.572281846369151e-05
Steps = 810, loss = 2.5360017389175482e-05
Steps = 820, loss = 2.501795461284928e-05
Steps = 830, loss = 2.47173520619981e-05
Steps = 840, loss = 2.4344184566871263e-05
Steps = 850, loss = 2.4017668692977168e-05
Steps = 860, loss = 2.3706692445557564e-05
Steps = 870, loss = 2.3421638616127893e-05
Steps = 880, loss = 2.3084758140612394e-05
Steps = 890, loss = 2.2815249394625425e-05
Steps = 900, loss = 2.251982550660614e-05
Steps = 910, loss = 2.2239955796976574e-05
Steps = 920, loss = 2.1980809833621606e-05
Steps = 930, loss = 2.169056642742362e-05
Steps = 940, loss = 2.143661185982637e-05
Steps = 950, loss = 2.1177465896471404e-05
Steps = 960, loss = 2.0918325390084647e-05
Steps = 970, loss = 2.0690280507551506e-05
Steps = 980, loss = 2.0436320482986048e-05
Steps = 990, loss = 2.0234187104506418e-05
Steps = 1000, loss = 1.9990593500551768e-05
Steps = 1010, loss = 1.9767729099839926e-05
Steps = 1020, loss = 1.952931961568538e-05
Steps = 1030, loss = 1.933236671902705e-05
Steps = 1040, loss = 1.909914135467261e-05
Steps = 1050, loss = 1.8881457435782067e-05
Steps = 1060, loss = 1.8715607438934967e-05
Steps = 1070, loss = 1.8529022781876847e-05
Steps = 1080, loss = 1.8321710740565322e-05
Steps = 1090, loss = 1.8124761481885798e-05
Steps = 1100, loss = 1.792262810340617e-05
Steps = 1110, loss = 1.775677446858026e-05
Steps = 1120, loss = 1.7544274669489823e-05
Steps = 1130, loss = 1.7368058252031915e-05
Steps = 1140, loss = 1.7202202798216604e-05
Steps = 1150, loss = 1.7046717402990907e-05
Steps = 1160, loss = 1.6891230188775808e-05
Steps = 1170, loss = 1.6678734027664177e-05
Steps = 1180, loss = 1.6528430933249183e-05
Steps = 1190, loss = 1.638331013964489e-05
Steps = 1200, loss = 1.622782292542979e-05
Steps = 1210, loss = 1.6077519831014797e-05
Steps = 1220, loss = 1.590129977557808e-05
Steps = 1230, loss = 1.5782094124006107e-05
Steps = 1240, loss = 1.5636973330401815e-05
Steps = 1250, loss = 1.548667023598682e-05
Steps = 1260, loss = 1.5341545804403722e-05
Steps = 1270, loss = 1.5201607311610132e-05
Steps = 1280, loss = 1.5061669728311244e-05
